iter	Passed	Remaining
0	756	755310
1	1186	591979
2	1662	552364
3	2128	530025
4	2737	544854
5	3266	541172
6	3350	475321
7	4019	498409
8	4370	481261
9	4959	491012
10	5313	477692
11	5699	469253
12	5896	447660
13	6890	485293
14	8891	583903
15	9157	563177
16	10283	594636
17	11144	608004
18	11294	583141
19	11598	568305
20	11897	554669
21	12347	548916
22	13130	557781
23	13707	557436
24	14288	557237
25	15041	563489
26	15722	566608
27	15948	553645
28	16174	541553
29	16379	529594
30	16703	522103
31	16794	508023
32	17104	501203
33	17459	496061
34	17959	495175
35	18334	490948
36	18586	483744
37	19001	481040
38	19744	486533
39	20148	483555
40	20627	482481
41	21047	480073
42	21489	478257
43	21610	469531
44	22225	471667
45	22516	466981
46	22967	465712
47	23303	462192
48	23682	459624
49	24206	459917
50	24941	464108
51	25645	467535
52	25773	460515
53	26264	460109
54	26863	461556
55	27166	457957
56	27700	458277
57	27981	454465
58	28168	449256
59	28378	444599
60	28603	440309
61	29097	440216
62	29582	439977
63	29928	437706
64	30367	436830
65	30785	435661
66	31205	434545
67	31425	430708
68	31998	431754
69	32414	430653
70	32918	430723
71	33387	430326
72	33927	430829
73	34386	430293
74	35022	431949
75	35349	429772
76	35830	429495
77	36180	427668
78	36658	427368
79	36821	423452
80	36936	419071
81	37421	418938
82	37797	417599
83	38166	416199
84	38582	415334
85	38880	413219
86	39153	410889
87	39638	410802
88	40147	410950
89	40453	409030
90	40809	407644
91	41125	405887
92	41517	404905
93	41725	402162
94	41998	400090
95	42390	399176
96	42704	397545
97	42881	394685
98	43255	393672
99	43587	392290
100	43853	390335
101	44096	388221
102	44388	386571
103	44765	385671
104	45205	385324
105	45446	383293
106	45769	381984
107	46060	380421
108	46376	379094
109	46706	377898
110	47070	376989
111	47477	376432
112	47852	375623
113	48276	375203
114	48703	374808
115	49084	374061
116	49402	372839
117	49745	371828
118	50101	370916
119	50379	369449
120	50446	366464
121	50796	365568
122	51064	364091
123	51407	363171
124	51617	361319
125	51958	360409
126	52299	359507
127	52449	357315
128	52894	357142
129	52978	354547
130	53185	352811
131	53512	351886
132	53763	350471
133	54187	350196
134	54387	348483
135	54589	346802
136	54842	345466
137	55048	343856
138	55114	341391
139	55451	340627
140	55643	338989
141	55982	338262
142	56275	337257
143	56704	337075
144	57057	336442
145	57491	336288
146	57973	336404
147	58324	335761
